"","olat","olng","lat10","lon10","neighborhood","mode","time_start","dis"
"3071",47.65962,-122.40117,47.67217,-122.37621,"Lawton Park",6,"5/20/2015 16:26:46.982 ",2335.21041400271
"3079",47.61603,-122.30956,47.61396,-122.3225,"Stevens",1,"5/19/2015 7:59:55.997 ",998.003518881362
"3080",47.61083,-122.33452,47.61425,-122.32668,"Central Business District",1,"5/19/2015 16:14:21.005 ",700.786123600008
"3081",47.61598,-122.30964,47.61522,-122.32203,"Stevens",1,"5/20/2015 7:40:46.963 ",933.594480714638
"3082",47.61022,-122.33139,47.61383,-122.32719,"Central Business District",1,"5/20/2015 16:14:52.973 ",510.725206931635
"3083",47.61649,-122.31002,47.6153,-122.32094,"Stevens",1,"5/21/2015 7:34:02.006 ",830.077362168117
"3084",47.68075,-122.32884,47.68505,-122.33807,"Green Lake",1,"5/19/2015 8:46:35.962 ",841.203346307542
"3085",47.672,-122.34339,47.67571,-122.33361,"Green Lake",1,"5/19/2015 9:32:13.978 ",841.409673958622
"3086",47.675,-122.31747,47.67397,-122.28921,"Roosevelt",6,"5/19/2015 17:38:11.040 ",2121.35940146792
"3087",47.68022,-122.28529,47.6826,-122.2892,"Bryant",1,"5/20/2015 17:06:52.013 ",395.051210648669
"3088",47.68015,-122.28503,47.67868,-122.32448,"Bryant",6,"5/21/2015 8:18:09.994 ",2961.26231721481
"3089",47.68083,-122.32881,47.68406,-122.33917,"Green Lake",1,"5/21/2015 8:36:13.968 ",855.641724681173
"3090",47.67225,-122.33853,47.68045,-122.3283,"Green Lake",1,"5/21/2015 9:16:18.998 ",1192.1330160692
"3091",47.68072,-122.32774,47.67769,-122.29115,"Green Lake",6,"5/21/2015 10:03:34.992 ",2763.05938985679
"3092",47.67507,-122.31738,47.67943,-122.28998,"Roosevelt",6,"5/21/2015 17:53:10.982 ",2110.26055236076
"3093",47.67608,-122.32072,47.65654,-122.31205,"Green Lake",23,"5/19/2015 8:39:37.008 ",2270.21642289138
"3102",47.59834,-122.32793,47.61433,-122.33027,"International District",23,"5/19/2015 20:40:22.022 ",1788.6418770233
"3103",47.61558,-122.32685,47.63947,-122.21907,"Broadway",23,"5/20/2015 10:26:48.970 ",8512.13476897155
"3105",47.61015,-122.33693,47.6126,-122.33502,"Central Business District",1,"5/21/2015 15:23:30.998 ",308.105934591582
"3106",47.6126,-122.33502,47.61298,-122.3338,"Central Business District",1,"5/21/2015 18:06:49.018 ",100.854497569877
"3107",47.6241,-122.35289,47.61398,-122.33974,"Lower Queen Anne",29,"5/19/2015 9:38:12.019 ",1497.57700512017
"3108",47.61686,-122.34663,47.62212,-122.35093,"Belltown",1,"5/19/2015 14:58:06.038 ",668.551518795378
